,id,title,sourceUrl,addTime
5605,054ff06927c441e79ff2949822ef7167,关于启动2020-2022年本科教学实验室建设专项申报工作的通知,https://www.jwc.uestc.edu.cn/info/ff8080816a5d21cb016a9fddcdb22654,2019-05-10T00:00:00
5606,c39cec3c7b934272b25fce5c251e8039,第十四届学风建设宣传月活动一览,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71202,2019-05-10T00:00:00
5607,7bbe659090dd449e9ba72c05a32c60f0,四川省科技厅厅长刘东来校调研以色列研究中心,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71179,2019-05-09T00:00:00
5608,5788e5eed9794db1a70de5b29113c91e,学校召开党的建设和全面从严治党领导小组会议,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71195,2019-05-09T00:00:00
5609,fee549f067aa427a9406fd45d650b13f,朝阳餐厅5月11日暂停供餐的通知,https://hq.uestc.edu.cn/web/detail.jsp?article_id=7044,2019-05-09T00:00:00
5610,c1c79fb940564a85be5bb2f23ab7128f,2019“知识发现挑战赛”圆满闭幕　“年度书虫”“爱馆狂人”名单揭晓,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71171,2019-05-08T00:00:00
5611,b9dad9c5a62742868b02706e5580d614,396路公交车站点调整通知,https://hq.uestc.edu.cn/web/detail.jsp?article_id=7039,2019-05-08T00:00:00
5612,fd2fe7b7a0ba4bf1be0a31731adf0695,关于公布电子科技大学2019年规划教材立项建设名单的通知,https://www.jwc.uestc.edu.cn/info/ff8080816a5d21cb016a953648a525d1,2019-05-08T00:00:00
5613,e3277f718e4542d594e8f3410830326d,关于对电子科技大学2018-2019学年青年教师教学竞赛优秀组织奖进行公示的通知,https://www.jwc.uestc.edu.cn/info/ff8080816a5d21cb016a972f7edc25fe,2019-05-08T00:00:00
5614,48f2639679d94522a9c2a5aca14b4363,建设一支政治强情怀深 思维新视野广 自律严人格正的高校思想政治理论课教师队伍,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=74458,2019-05-08T00:00:00
5615,4c0ccab5cbb14b0caba4ce72411d55cd,电子科技大学2019年学生表彰大会直播公告,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71169,2019-05-08T00:00:00
5616,493392333b724582892a4234c8e8b3c8,精品课程《战争、军队与文化》课程开课公告,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=71161,2019-05-08T00:00:00
